T+8,T+0,T-1_T-4_DIFF_MEAN,T-9_T-12_DIFF_MEAN,T-1_T-4_DIFF_DIFF_MEAN,T-1_T-4_MEAN,T-5_T-8_MEAN,T-9_T-12_MEAN,POPULATION,RAIN_2_MAX,RAIN_2_MEAN,RAIN_4_MAX,RAIN_4_MEAN,RAIN_5_MAX,RAIN_5_MEAN,RAIN_6_MAX,RAIN_6_MEAN,RAIN_7_MAX,RAIN_7_MEAN,RAIN_8_MAX,RAIN_8_MEAN,RAIN_9_MAX,RAIN_9_MEAN,RAIN_10_MAX,RAIN_10_MEAN,RAIN_11_MAX,RAIN_11_MEAN,TEMP_2_-4_-7_MIN,TEMP_2_-4_-7_MEAN,TEMP_2_-8_-12_MIN,TEMP_2_-8_-12_MEAN,TEMP_3_-4_-7_MIN,TEMP_3_-4_-7_MEAN,TEMP_3_-8_-12_MIN,TEMP_3_-8_-12_MEAN,TEMP_4_-4_-7_MIN,TEMP_4_-4_-7_MEAN,TEMP_4_-8_-12_MIN,TEMP_4_-8_-12_MEAN
-0.073817762,-0.107266436,-0.00307574,7.69E-04,-0.005190311,-0.101211073,-0.121395617,-0.134083045,-0.475017628,0.225143796,0.038619556,0.188749934,0.039997889,0.146028256,0.042125084,0.18123422,0.043115319,0.196396994,0.043568951,0.176263817,0.039962169,0.171985952,0.040268804,0.179685305,0.039963911,0.172693738,0.038734424,-0.114107884,-0.003630706,-0.2593361,-0.134439834,-0.044803914,0.045613352,-0.062422034,0.182353418,-0.048240133,0.043600273,-0.060312095,0.179601228
-0.092272203,-0.085351788,-0.00615148,-0.00461361,0.010380623,-0.103229527,-0.111014994,-0.132352941,-0.469834621,0.225143796,0.070870994,0.188749934,0.069323518,0.146028256,0.06293293,0.18123422,0.070421481,0.196396994,0.068760834,0.176263817,0.065701502,0.171985952,0.066090798,0.179685305,0.065983826,0.172693738,0.063915873,-0.039419087,0.032676349,-0.2593361,-0.129045643,-0.044803914,-0.007360647,-0.062422034,0.213928087,-0.048240133,-0.008435462,-0.060312095,0.210871903
-0.054209919,-0.099192618,0.00768935,0.003460208,0.010957324,-0.102364476,-0.106689735,-0.12716263,-0.464651614,0.107230896,-0.02783484,0.111577225,-0.022934146,0.100245989,-0.024496049,0.111503818,-0.020691358,0.104652208,-0.025482767,0.104888129,-0.025600791,0.106829243,-0.024233503,0.105218284,-0.025757064,0.102841235,-0.02713136,0.031120332,0.077282158,-0.136929461,-0.085062241,-0.043505985,0.04683682,-0.062422034,0.160913718,-0.037587832,0.048545898,-0.060312095,0.15696434
-0.06805075,-0.051903114,0.00307574,0.011149558,-0.007497116,-0.10005767,-0.105824683,-0.126009227,-0.459468607,0.107230896,-0.078471651,0.111577225,-0.078650203,0.100245989,-0.08706707,0.111503818,-0.078032648,0.104652208,-0.074811957,0.104888129,-0.081785068,0.106829243,-0.081235621,0.105218284,-0.080735252,0.102841235,-0.083331008,0.031120332,0.094917012,-0.136929461,-0.064730291,0.003541267,0.075006059,-0.044803914,0.164696928,0.001138625,0.073675621,-0.048240133,0.161509193
-0.094579008,-0.026528258,0.018454441,0.00461361,0.012687428,-0.085928489,-0.101211073,-0.121395617,-0.4542856,0.107230896,-0.082990961,0.111577225,-0.081420506,0.100245989,-0.085453991,0.111503818,-0.079763701,0.104652208,-0.079965193,0.104888129,-0.083832516,0.106829243,-0.083095225,0.105218284,-0.08342723,0.102841235,-0.085330431,0.031120332,0.091286307,-0.114107884,-0.02406639,-0.083622973,0.040268804,-0.044803914,0.117098408,-0.083899346,0.039963911,-0.048240133,0.114735628
-0.083044983,-0.039215686,0.019607843,0.002306805,0.019607843,-0.065743945,-0.103229527,-0.111014994,-0.449102593,0.343056697,-0.024034511,0.364281568,-0.01824442,0.440464114,-3.99E-04,0.384956657,-0.011400492,0.368151433,-0.014090387,0.386553927,-0.013416067,0.386636917,-0.013143306,0.37983329,-0.014773478,0.388009816,-0.014038286,0.05186722,0.12033195,-0.114107884,0.003319502,-0.083622973,0.066090798,-0.044803914,0.037198935,-0.083899346,0.065983826,-0.048240133,0.035107943
-0.113033449,-0.048442907,0.019992311,0.00768935,-0.029988466,-0.054209919,-0.102364476,-0.106689735,-0.443919375,0.343056697,-0.011914544,0.364281568,-0.005039312,0.440464114,0.018298975,0.384956657,0.00310702,0.368151433,0.001051628,0.386553927,0.001920453,0.386636917,0.002028764,0.37983329,2.64E-04,0.388009816,0.001588315,0.05186722,0.151452282,-0.039419087,0.053941909,-0.189311253,-0.024233503,-0.044803914,0.028508673,-0.187278256,-0.025757064,-0.048240133,0.029188692
-0.115340254,-0.056516724,0.001153402,0.00615148,-0.017301039,-0.041522491,-0.10005767,-0.105824683,-0.438736368,0.343056697,4.11E-04,0.364281568,0.013271067,0.440464114,0.051949409,0.384956657,0.025054347,0.368151433,0.015981439,0.386553927,0.023994881,0.386636917,0.024530516,0.37983329,0.020638729,0.388009816,0.024098523,0.05186722,0.170124482,0.031120332,0.090456431,-0.189311253,-0.081235621,-0.043505985,0.05130365,-0.187278256,-0.080735252,-0.037587832,0.05142293
-0.117647059,-0.073817762,-0.009996155,-0.00307574,0.002306806,-0.042675894,-0.085928489,-0.101211073,-0.433553361,0.343056697,-0.001746097,0.364281568,0.004254393,0.440464114,0.029846856,0.384956657,0.012935164,0.368151433,0.006582626,0.386553927,0.010954298,0.386636917,0.010951686,0.37983329,0.008601134,0.388009816,0.010441778,0.143153527,0.192946058,0.031120332,0.086307054,-0.189311253,-0.083095225,-0.083622973,0.043280253,-0.187278256,-0.08342723,-0.083899346,0.042160628
-0.085351788,-0.092272203,-0.011534025,-0.00615148,-0.004036908,-0.05449827,-0.065743945,-0.103229527,-0.428370354,0.042317173,-0.076930978,0.041660071,-0.076400981,0.028186429,-0.073222566,0.041078724,-0.07303432,0.062320776,-0.069875038,0.041194542,-0.075385549,0.041213874,-0.075404075,0.044649676,-0.07519477,0.040424077,-0.076454657,-0.099585062,0.131224067,0.031120332,0.102489627,-0.189311253,-0.013143306,-0.083622973,0.053580892,-0.187278256,-0.014773478,-0.083899346,0.053014786
-0.080738178,-0.054209919,-0.014609765,0.00768935,-0.005190312,-0.067762399,-0.054209919,-0.102364476,-0.423187347,0.042317173,-0.08874281,0.041660071,-0.08923012,0.028186429,-0.090939766,0.041078724,-0.08702236,0.062320776,-0.084359348,0.041194542,-0.090094248,0.041213874,-0.089978409,0.044649676,-0.08963211,0.040424077,-0.091419629,-0.099585062,0.043568465,0.05186722,0.148962656,-0.158837502,0.002028764,-0.189311253,0.015010388,-0.156981691,2.64E-04,-0.187278256,0.01533141
